fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230721 190323	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	311	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.241403229142015	0.846314154653861	506	19946	12101	67905155.922039	1
20230721 190451	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	561	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.150204576581758	0.289216212350316	581	36866	11387	68947605.6971514	2
20230721 190546	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	136	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.112701092671621	0.404877383992017	19	37895	12198	64824650.6746627	3
20230721 190743	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1041	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0676770703818953	0.154016637494749	528	5150	13155	68746274.3628186	4
20230721 190906	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	920	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.253967826400257	0.653659171794683	897	27163	11699	68769566.7166417	5
20230721 191027	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	824	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.197056477371137	0.0841687702866863	1012	9925	12996	67938416.7916042	6
20230721 191323	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2078	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.127479729754887	0.600073822975765	399	32137	12315	69129962.5187406	7
20230721 191433	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	599	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.209726724641813	0.752668594474251	353	15985	12313	68314313.3433283	8
20230721 191506	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	90	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0502645851003841	0.92420716492534	146	48793	12220	61512173.9130435	9
20230721 191745	781	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1289	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.157959124502347	0.344012412075875	746	22306	12969	67875488.7556222	10
