fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230723 215554	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1088	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.241403229142015	0.846314154653861	506	19946	10774	66853832.083958	1
20230723 220122	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	126	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.150204576581758	0.289216212350316	581	36866	13338	66246689.6551724	2
20230723 220633	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	82	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.112701092671621	0.404877383992017	19	37895	13759	64086898.0509745	3
20230723 224228	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1213	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0676770703818953	0.154016637494749	528	5150	11198	67207619.1904048	4
20230723 224408	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	965	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.253967826400257	0.653659171794683	897	27163	12033	67501539.7301349	5
20230723 224529	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	610	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.197056477371137	0.0841687702866863	1012	9925	11807	68016121.4392804	6
20230723 224726	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1181	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.127479729754887	0.600073822975765	399	32137	12666	68746227.886057	7
20230723 224844	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	597	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.209726724641813	0.752668594474251	353	15985	10115	67896919.0404798	8
20230723 224939	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	409	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0502645851003841	0.92420716492534	146	48793	13913	66103218.8905547	9
20230723 225407	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2210	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.157959124502347	0.344012412075875	746	22306	12343	67079545.7271364	10
20230723 225521	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	309	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0179348840722712	0.70801840149063	772	30661	12473	63452544.2278861	11
20230723 230045	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2642	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.298955282515718	0.443696327183299	270	42848	12845	67527188.9055472	12
20230723 230637	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2213	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0335273519273182	0.550456348107964	91	13698	12341	69208004.4977511	13
20230723 230855	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	397	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.186541653171453	0.972486086076296	671	1336	14332	64464809.5952024	14
20230723 231210	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3065	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.083566705535486	0.0276013712692273	858	43907	11840	67409115.4422789	15
20230723 231304	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	159	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.279810460840224	0.20424531397422	232	7631	11745	66976514.2428786	16
20230723 231616	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1979	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0432369587933119	0.835077329506356	164	13965	12478	68893196.4017991	17
20230723 232022	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1717	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0357313056975664	0.572373373393297	437	13519	12582	68960326.8365817	18
20230723 232128	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	165	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0301602280039224	0.232493022303475	87	15202	11771	64559503.7481259	19
20230723 232404	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1526	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0463015865913021	0.928206543244316	51	13450	10714	68852542.7286357	20
20230723 232832	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2174	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0530195067089275	0.241600432624502	207	13678	10880	69596221.8890555	21
20230723 233058	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	818	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0855711403136903	0.425233430374773	218	13711	12176	69480575.7121439	22
20230723 233225	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	988	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.231104895825601	0.0368354780788178	185	13607	11740	66838650.6746627	23
20230723 233330	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	694	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0694012063891923	0.0120287716418337	180	12793	12170	67764662.6686657	24
20230723 233424	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	25	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.184881014442375	0.522197043025034	319	32587	12445	61769587.7061469	25
20230723 233809	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2379	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0544435824604733	0.778561834475956	334	13150	10823	68840985.0074963	26
20230723 234100	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1696	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0503904246543238	0.815713356956067	356	13119	10986	69396782.6086957	27
20230723 234346	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	939	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.070684666471666	0.472172578951068	324	13779	11956	69529841.0794603	28
20230723 234612	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	992	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0745443848601863	0.239808906672	64	13818	12375	69646994.0029985	29
20230723 234905	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1754	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0776521870081434	0.13744312658398	188	13811	10858	69221742.1289355	30
20230723 235210	837	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1091	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0647873546777181	0.489473363851901	80	13725	11988	69620107.946027	31
