fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230728 202214	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	813	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.241403229142015	0.846314154653861	506	19946	34072	138933325.337331	1
20230728 202702	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2576	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.150204576581758	0.289216212350316	581	36866	30047	136349794.602699	2
20230728 203303	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3026	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.112701092671621	0.404877383992017	19	37895	31386	137391145.427286	3
20230728 203433	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	451	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0676770703818953	0.154016637494749	528	5150	31161	140978049.475262	4
20230728 203532	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	445	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.253967826400257	0.653659171794683	897	27163	31439	139249596.701649	5
20230728 203654	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	707	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.197056477371137	0.0841687702866863	1012	9925	32445	136085329.835082	6
20230728 203848	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1365	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.127479729754887	0.600073822975765	399	32137	33550	138094527.736132	7
20230728 204000	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	557	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.209726724641813	0.752668594474251	353	15985	32384	139558764.617691	8
20230728 204342	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3449	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0502645851003841	0.92420716492534	146	48793	31002	135889592.203898	9
20230728 204542	1137	277329	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	693	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.157959124502347	0.344012412075875	746	22306	34870	139933328.335832	10
