fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230730 042419	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	213	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.243423807447462	0.846314154653861	508	20006	12752	67261541.2293853	1
20230730 042933	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	652	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.155369936009973	0.289216212350316	583	36892	12965	67893305.8470765	2
20230730 043829	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1157	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.119159675682944	0.404877383992017	23	37919	12735	68423845.5772114	3
20230730 044323	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	673	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0756882058859679	0.154016637494749	530	5239	12538	68255025.4872564	4
20230730 044533	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	155	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.255555142731282	0.653659171794683	897	27209	10817	67731848.5757121	5
20230730 044743	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	246	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.200606254013512	0.0841687702866863	1012	10004	12659	65742100.4497751	6
20230730 045107	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	395	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.133428704590926	0.600073822975765	401	32173	12150	68791859.0704648	7
20230730 045402	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	267	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.212839596205888	0.752668594474251	356	16052	10885	67768028.4857571	8
20230730 050102	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1614	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0588761511314054	0.92420716492534	150	48795	11313	69280910.0449775	9
20230730 050646	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	652	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.162857085726404	0.344012412075875	748	22360	11393	67793473.7631184	10
20230730 051842	831	1101086	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2617	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0276612673801239	0.70801840149063	773	30700	10677	69570379.3103448	11
