fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20230722 134050	1445	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	872	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.241403229142015	0.846314154653861	506	19946	10493	67200280.3598201	1
20230722 134145	1445	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	75	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.150204576581758	0.289216212350316	581	36866	12307	63024787.1064468	2
20230722 134249	1445	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	75	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.112701092671621	0.404877383992017	19	37895	14351	62645710.6446777	3
20230722 134535	1445	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1103	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0676770703818953	0.154016637494749	528	5150	11622	67716188.9055472	4
20230722 134659	1445	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	698	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.253967826400257	0.653659171794683	897	27163	12690	68541694.1529235	5
20230722 134838	1445	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	885	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.197056477371137	0.0841687702866863	1012	9925	12767	67012463.2683658	6
20230722 134920	1445	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	61	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.127479729754887	0.600073822975765	399	32137	11806	63079751.1244378	7
20230722 135047	1445	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	695	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.209726724641813	0.752668594474251	353	15985	12497	66896826.0869565	8
20230722 135207	1445	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	788	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.0502645851003841	0.92420716492534	146	48793	13667	66427425.7871064	9
20230722 135534	1445	294049	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1373	1	1	1	FALSE	1	0.1	50	0.5	TRUE	980717	0.157959124502347	0.344012412075875	746	22306	12444	67690728.6356822	10
